Bank_id,Year,Bank_name,Sector
61,2015,JAMMU & KASHMIR BANK LTD,Private
61,2016,JAMMU & KASHMIR BANK LTD,Private
61,2017,JAMMU & KASHMIR BANK LTD,Private
61,2018,JAMMU & KASHMIR BANK LTD,Private
61,2019,JAMMU & KASHMIR BANK LTD,Private
61,2020,JAMMU & KASHMIR BANK LTD,Private
62,2005,JP MORGAN CHASE BANK N.A.,Foreign
62,2006,JP MORGAN CHASE BANK N.A.,Foreign
62,2007,JP MORGAN CHASE BANK N.A.,Foreign
62,2008,JP MORGAN CHASE BANK N.A.,Foreign
62,2009,JP MORGAN CHASE BANK N.A.,Foreign
62,2010,JP MORGAN CHASE BANK N.A.,Foreign
62,2011,JP MORGAN CHASE BANK N.A.,Foreign
62,2012,JP MORGAN CHASE BANK N.A.,Foreign
62,2013,JP MORGAN CHASE BANK N.A.,Foreign
62,2014,JP MORGAN CHASE BANK N.A.,Foreign
62,2015,JP MORGAN CHASE BANK N.A.,Foreign
62,2016,JP MORGAN CHASE BANK N.A.,Foreign
62,2017,JP MORGAN CHASE BANK N.A.,Foreign
62,2018,JP MORGAN CHASE BANK N.A.,Foreign
62,2019,JP MORGAN CHASE BANK N.A.,Foreign
62,2020,JP MORGAN CHASE BANK N.A.,Foreign
63,2009,JSC VTB BANK,Foreign
63,2010,JSC VTB BANK,Foreign
63,2011,JSC VTB BANK,Foreign
63,2012,JSC VTB BANK,Foreign
63,2013,JSC VTB BANK,Foreign
63,2014,JSC VTB BANK,Foreign
63,2015,JSC VTB BANK,Foreign
63,2016,JSC VTB BANK,Foreign
63,2017,JSC VTB BANK,Foreign
63,2018,JSC VTB BANK,Foreign
63,2019,JSC VTB BANK,Foreign
63,2020,JSC VTB BANK,Foreign
64,2005,KARNATAKA BANK LTD,Private
64,2006,KARNATAKA BANK LTD,Private
64,2007,KARNATAKA BANK LTD,Private
64,2008,KARNATAKA BANK LTD,Private
64,2009,KARNATAKA BANK LTD,Private
64,2010,KARNATAKA BANK LTD,Private
64,2011,KARNATAKA BANK LTD,Private
64,2012,KARNATAKA BANK LTD,Private
64,2013,KARNATAKA BANK LTD,Private
64,2014,KARNATAKA BANK LTD,Private
64,2015,KARNATAKA BANK LTD,Private
64,2016,KARNATAKA BANK LTD,Private
64,2017,KARNATAKA BANK LTD,Private
64,2018,KARNATAKA BANK LTD,Private
64,2019,KARNATAKA BANK LTD,Private
64,2020,KARNATAKA BANK LTD,Private
65,2005,KARUR VYSYA BANK,Private
65,2006,KARUR VYSYA BANK,Private
65,2007,KARUR VYSYA BANK,Private
65,2008,KARUR VYSYA BANK,Private
65,2009,KARUR VYSYA BANK,Private
65,2010,KARUR VYSYA BANK,Private
65,2011,KARUR VYSYA BANK,Private
65,2012,KARUR VYSYA BANK,Private
65,2013,KARUR VYSYA BANK,Private
65,2014,KARUR VYSYA BANK,Private
65,2015,KARUR VYSYA BANK,Private
65,2016,KARUR VYSYA BANK,Private
65,2017,KARUR VYSYA BANK,Private
